# Filtered for technologies not requiring intermittent backup and extrapolated using an exponential function
sector.name,subsector.name,technology,year,minicam.energy.input,efficiency
electricity,coal,coal (conv pul),2020,regional coal,0.41
electricity,coal,coal (conv pul),2025,regional coal,0.423
electricity,coal,coal (conv pul),2030,regional coal,0.434
electricity,coal,coal (conv pul),2035,regional coal,0.445
electricity,coal,coal (conv pul),2040,regional coal,0.454
electricity,coal,coal (conv pul),2045,regional coal,0.464
electricity,coal,coal (conv pul),2050,regional coal,0.472
electricity,coal,coal (conv pul),2055,regional coal,0.48
electricity,coal,coal (conv pul),2060,regional coal,0.487
electricity,coal,coal (conv pul),2065,regional coal,0.494
electricity,coal,coal (conv pul),2070,regional coal,0.5
electricity,coal,coal (conv pul),2075,regional coal,0.506
electricity,coal,coal (conv pul),2080,regional coal,0.511
electricity,coal,coal (conv pul),2085,regional coal,0.516
electricity,coal,coal (conv pul),2090,regional coal,0.521
electricity,coal,coal (conv pul),2095,regional coal,0.525
electricity,coal,coal (conv pul),2100,regional coal,0.529
electricity,coal,coal (IGCC),1975,regional coal,0.407
electricity,coal,coal (IGCC),1990,regional coal,0.407
electricity,coal,coal (IGCC),2005,regional coal,0.407
electricity,coal,coal (IGCC),2010,regional coal,0.407
electricity,coal,coal (IGCC),2015,regional coal,0.407
electricity,coal,coal (IGCC),2020,regional coal,0.425
electricity,coal,coal (IGCC),2025,regional coal,0.442
electricity,coal,coal (IGCC),2030,regional coal,0.457
electricity,coal,coal (IGCC),2035,regional coal,0.471
electricity,coal,coal (IGCC),2040,regional coal,0.483
electricity,coal,coal (IGCC),2045,regional coal,0.494
electricity,coal,coal (IGCC),2050,regional coal,0.504
electricity,coal,coal (IGCC),2055,regional coal,0.513
electricity,coal,coal (IGCC),2060,regional coal,0.521
electricity,coal,coal (IGCC),2065,regional coal,0.529
electricity,coal,coal (IGCC),2070,regional coal,0.535
electricity,coal,coal (IGCC),2075,regional coal,0.541
electricity,coal,coal (IGCC),2080,regional coal,0.547
electricity,coal,coal (IGCC),2085,regional coal,0.552
electricity,coal,coal (IGCC),2090,regional coal,0.556
electricity,coal,coal (IGCC),2095,regional coal,0.56
electricity,coal,coal (IGCC),2100,regional coal,0.564
electricity,gas,gas (CC),1975,wholesale gas,0.45
electricity,gas,gas (CC),1990,wholesale gas,0.45
electricity,gas,gas (CC),2005,wholesale gas,0.5
electricity,gas,gas (CC),2010,wholesale gas,0.565
electricity,gas,gas (CC),2015,wholesale gas,0.565
electricity,gas,gas (CC),2020,wholesale gas,0.577
electricity,gas,gas (CC),2025,wholesale gas,0.588
electricity,gas,gas (CC),2030,wholesale gas,0.598
